PROTID	m.ID	concat.id	KO.1	KO.GENE.1	DESCRIPTION.1	KO.EC.1	SCORE.KO.1	KO.2	KO.GENE.2	DESCRIPTION.2	SCORE.KO.2		KO.ALL	MET.PATH.1	MET.PATH.2	UNIPROT.ID	UNIPROT.DESC	Ca_BIND	GO.ONTOLOGY	BP.GO.ONTOLOGY
lcl|c230163_g1_i1|m.15005	m.15005	 caspase 7 [EC:3.4.22.60]* [CASP7] (m.15005)		CASP3	 caspase 3 	[EC:3.4.22.56]	37	K04397	CASP7	 caspase 7 [EC:3.4.22.60]	23		K02187		"Apoptosis, Apoptosis - fly, Apoptosis - multiple species, TNF signaling pathway, Non-alcoholic fatty liver disease, Alzheimer disease, Pathogenic Escherichia coli infection, Salmonella infection, Pertussis, Legionellosis, Pathways in cancer"	A0A2B4SL76	Caspase-3		cysteine-type endopeptidase activity [GO:0004197]	
lcl|c230171_g1_i1|m.15015	m.15015	 protein canopy 1/2 [CNPY1_2] (m.15015)	K22936	CNPY1_2	 protein canopy 1/2		64						K22936			A0A3M6TW48	DUF3456 domain-containing protein			
lcl|c230175_g2_i2|m.15021	m.15021	integral component of membrane [GO:0016021]** [] (m.15021)					280									A0A3M6UR25	Uncharacterized protein		integral component of membrane [GO:0016021]	
lcl|c230178_g1_i1|m.15027	m.15027	 angiopoietin-like 3* [ANGPTL3] (m.15027)					8	K22288	ANGPTL3	 angiopoietin-like 3	2		K22288		Cholesterol metabolism	A0A2B4SEI7	Uncharacterized protein			
lcl|c230178_g1_i2|m.15028	m.15028	 angiopoietin-like 3* [ANGPTL3] (m.15028)					8	K22288	ANGPTL3	 angiopoietin-like 3	1		K22288		Cholesterol metabolism					
lcl|c230184_g2_i3|m.15031	m.15031	 phosphomannomutase  [PMM] (m.15031)	K17497	PMM	 phosphomannomutase 	[EC:5.4.2.8]	171						K17497	"Fructose and mannose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"		A0A2B4SM25	Phosphomannomutase (EC 5.4.2.8)		cytoplasm [GO:0005737]; phosphomannomutase activity [GO:0004615]; GDP-mannose biosynthetic process [GO:0009298]	GDP-mannose biosynthetic process [GO:0009298]
lcl|c230186_g5_i1|m.15032	m.15032	 ADP-ribosylation factor GTPase-activating protein 2/3 [ARFGAP2_3] (m.15032)	K12493	ARFGAP2_3	 ADP-ribosylation factor GTPase-activating protein 2/3		266						K12493	Endocytosis		A0A2B4SLF9	ADP-ribosylation factor GTPase-activating protein 3		GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]	
lcl|c230192_g3_i5|m.15041	m.15041	* [] (m.15041)					22	K17495			12		K17495			A0A3M6TRM7	Uncharacterized protein			
lcl|c230197_g3_i5|m.15044	m.15044	 tyrosyl-tRNA synthetase  [YARS] (m.15044)	K01866	YARS	 tyrosyl-tRNA synthetase 	[EC:6.1.1.1]	16						K01866	Aminoacyl-tRNA biosynthesis		A0A2B4SXR4	"Tyrosine--tRNA ligase, cytoplasmic"		ATP binding [GO:0005524]; tRNA binding [GO:0000049]; tyrosine-tRNA ligase activity [GO:0004831]; tyrosyl-tRNA aminoacylation [GO:0006437]	tyrosyl-tRNA aminoacylation [GO:0006437]
lcl|c230208_g5_i1|m.15051	m.15051	* [] (m.15051)					6	K20628			3		K20628			A0A2B4RTW6	Uncharacterized protein			
lcl|c230219_g2_i3|m.15063	m.15063	 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase)  [DBT] (m.15063)	K09699	DBT	 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) 	[EC:2.3.1.168]	237						K09699	"Valine, leucine and isoleucine degradation, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"		A0A2B4SNL5	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)		"transferase activity, transferring acyl groups [GO:0016746]"	
lcl|c230220_g1_i2|m.15064	m.15064	Glutaredoxin-3* [] (m.15064)					66									A0A2B4RT16	Glutaredoxin-3		cell [GO:0005623]; electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035]; cell redox homeostasis [GO:0045454]	cell redox homeostasis [GO:0045454]
lcl|c230220_g1_i3|m.15065	m.15065	* [] (m.15065)					66													
lcl|c230270_g1_i2|m.15107	m.15107	 epidermal growth factor receptor substrate 15 [EPS15] (m.15107)	K12472	EPS15	 epidermal growth factor receptor substrate 15		322						K12472	Endocytosis		A0A3M6UYJ4	Uncharacterized protein (Fragment)	"CA_BIND 146..157;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448""; CA_BIND 244..255;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448"""	calcium ion binding [GO:0005509]	
lcl|c230276_g3_i1|m.15112	m.15112	* [] (m.15112)		DNAJB6	 DnaJ homolog subfamily B member 6		32	K09508			23		K09512			A0A0B7A4F5	J domain-containing protein			
lcl|c230280_g4_i1|m.15118	m.15118	* [] (m.15118)					10	K05047			1		K05047			A0A3M6UB70	Uncharacterized protein			
lcl|c230296_g1_i1|m.15135	m.15135	" collagen, type XXI, alpha* [COL21A] (m.15135)"					9	K16629	COL21A	" collagen, type XXI, alpha"	2		K16629		Protein digestion and absorption	A0A3M6US32	Uncharacterized protein			
lcl|c230317_g6_i5|m.15162	m.15162	 pre-mRNA-splicing factor SYF1 [SYF1] (m.15162)	K12867	SYF1	 pre-mRNA-splicing factor SYF1		582						K12867	Spliceosome		A0A3M6TIW2	Uncharacterized protein		RNA processing [GO:0006396]	RNA processing [GO:0006396]
lcl|c230320_g1_i1|m.15166	m.15166	* [] (m.15166)		SLC6A1	" solute carrier family 6 (neurotransmitter transporter, GABA) member 1"		239	K05041			57		K05034			A0A3M6UCW2	Transporter		integral component of membrane [GO:0016021]; neurotransmitter:sodium symporter activity [GO:0005328]	
lcl|c230355_g4_i3|m.15198	m.15198	myosin complex [GO:0016459]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; motor activity [GO:0003774]** [] (m.15198)														A0A3M6UZZ8	Uncharacterized protein		myosin complex [GO:0016459]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; motor activity [GO:0003774]	
lcl|c230360_g10_i5|m.15205	m.15205	 guanine nucleotide-binding protein G(s) subunit alpha [GNAS] (m.15205)	K04632	GNAS	 guanine nucleotide-binding protein G(s) subunit alpha		332						K04632	"Bile secretion, Regulation of lipolysis in adipocytes, Rap1 signaling pathway, Calcium signaling pathway, cAMP signaling pathway, Axon regeneration, Thermogenesis, Dopaminergic synapse, Melanogenesis, Gastric acid secretion, Chagas disease, Endocrine resistance, Phospholipase D signaling pathway, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Gap junction, Platelet activation, Circadian entrainment, Glutamatergic synapse, Serotonergic synapse, Long-term depression, Inflammatory mediator regulation of TRP channels, Insulin secretion, GnRH signaling pathway, Ovarian steroidogenesis, Estrogen signaling pathway, Thyroid hormone synthesis, Oxytocin signaling pathway, Glucagon signaling pathway, Renin secretion, Aldosterone synthesis and secretion, Relaxin signaling pathway, Cortisol synthesis and secretion, Parathyroid hormone synthesis, secretion and action, Cushing syndrome, Growth hormone synthesis, secretion and action, Endocrine and other factor-regulated calcium reabsorption, Vasopressin-regulated water reabsorption, Salivary secretion, Pancreatic secretion, Parkinson disease, Cocaine addiction, Amphetamine addiction, Morphine addiction, Alcoholism, Vibrio cholerae infection, Amoebiasis, Human cytomegalovirus infection, Human papillomavirus infection, Pathways in cancer, Dilated cardiomyopathy"						
lcl|c230386_g2_i1|m.15223	m.15223	Hydroxysteroid dehydrogenase-like protein 2* [] (m.15223)					250									A0A2B4RX83	Hydroxysteroid dehydrogenase-like protein 2			
lcl|c230386_g2_i2|m.15225	m.15225	* [] (m.15225)					174													
lcl|c230398_g2_i4|m.15241	m.15241	* [] (m.15241)					11	K05982			1		K05982							
lcl|c230398_g2_i8|m.15247	m.15247	 signal peptidase I [EC:3.4.21.89]* [lepB] (m.15247)					13	K03100	lepB	 signal peptidase I [EC:3.4.21.89]	1		K03100		Protein export					
lcl|c230405_g2_i9|m.15259	m.15259	 small subunit ribosomal protein S27e [RP-S27e] (m.15259)	K02978	RP-S27e	 small subunit ribosomal protein S27e		43						K02978	Ribosome						
lcl|c230406_g3_i1|m.15260	m.15260	 prostaglandin reductase 3  [PTGR3] (m.15260)	K07119	PTGR3	 prostaglandin reductase 3 	[EC:1.3.1.48]	86						K07119			A0A3M6T709	PKS_ER domain-containing protein		oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	
lcl|c230411_g4_i1|m.15261	m.15261	 calcium homeostasis endoplasmic reticulum protein [CHERP] (m.15261)	K12841	CHERP	 calcium homeostasis endoplasmic reticulum protein		170						K12841	Spliceosome		A0A2B4SNZ9	Calcium homeostasis endoplasmic reticulum protein		cell [GO:0005623]; RNA binding [GO:0003723]; cellular calcium ion homeostasis [GO:0006874]; RNA processing [GO:0006396]	cellular calcium ion homeostasis [GO:0006874]; RNA processing [GO:0006396]
lcl|c230412_g8_i4|m.15270	m.15270	* [] (m.15270)					2	K22016			1		K22016							
lcl|c230413_g1_i5|m.15274	m.15274	 V-type H+-transporting ATPase subunit H [ATPeV1H] (m.15274)	K02144	ATPeV1H	 V-type H+-transporting ATPase subunit H		254						K02144	"Lysosome, Oxidative phosphorylation, Phagosome, mTOR signaling pathway, Metabolic pathways, Synaptic vesicle cycle, Vibrio cholerae infection, Epithelial cell signaling in Helicobacter pylori infection, Tuberculosis, Human papillomavirus infection, Rheumatoid arthritis"						
lcl|c230414_g1_i1|m.15275	m.15275	 3-hydroxyisobutyrate dehydrogenase  [HIBADH] (m.15275)	K00020	HIBADH	 3-hydroxyisobutyrate dehydrogenase 	[EC:1.1.1.31]	199						K00020	"Valine, leucine and isoleucine degradation, Metabolic pathways"		A0A3M6U2N5	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)		3-hydroxyisobutyrate dehydrogenase activity [GO:0008442]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; valine catabolic process [GO:0006574]	valine catabolic process [GO:0006574]
lcl|c230419_g4_i4|m.15280	m.15280	* [] (m.15280)																		
lcl|c230431_g5_i1|m.15286	m.15286	 hephaestin [EC:1.16.3.1]* [HEPH] (m.15286)					133	K14735	HEPH	 hephaestin [EC:1.16.3.1]	72		K14735		"Porphyrin and chlorophyll metabolism, Mineral absorption"	A0A2B4SHX0	Hephaestin-like protein 1		copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	
lcl|c230434_g3_i8|m.15304	m.15304	 folate receptor [FOLR] (m.15304)	K13649	FOLR	 folate receptor		103						K13649	"Endocytosis, Antifolate resistance"						
lcl|c230438_g3_i4|m.15312	m.15312	 FK506-binding protein 8  [FKBP8] (m.15312)	K09574	FKBP8	 FK506-binding protein 8 	[EC:5.2.1.8]	41						K09574			A0A2B4T0W2	Peptidylprolyl isomerase (EC 5.2.1.8)		integral component of membrane [GO:0016021]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	
lcl|c230481_g5_i1|m.15356	m.15356	 glutathione S-transferase  [GST] (m.15356)	K00799	GST	 glutathione S-transferase 	[EC:2.5.1.18]	119						K00799	"Glutathione metabolism, Chemical carcinogenesis, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Drug metabolism - other enzymes, Metabolic pathways, Platinum drug resistance, Longevity regulating pathway - worm, Pathways in cancer, Hepatocellular carcinoma, Fluid shear stress and atherosclerosis"		A0A2B4SHD3	Glutathione S-transferase Mu 3		glutathione transferase activity [GO:0004364]	
lcl|c230489_g4_i1|m.15364	m.15364	SAM domain-containing protein* [] (m.15364)					5									A0A3M6T8D4	SAM domain-containing protein		"nucleus [GO:0005634]; zinc ion binding [GO:0008270]; regulation of transcription, DNA-templated [GO:0006355]"	"regulation of transcription, DNA-templated [GO:0006355]"
lcl|c230498_g3_i2|m.15368	m.15368	 methylmalonyl-CoA/ethylmalonyl-CoA epimerase  [MCEE] (m.15368)	K05606	MCEE	 methylmalonyl-CoA/ethylmalonyl-CoA epimerase 	[EC:5.1.99.1]	85						K05606	"Valine, leucine and isoleucine degradation, Carbon metabolism, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Carbon fixation pathways in prokaryotes, Metabolic pathways, Microbial metabolism in diverse environments"		A0A2B4T1H3	"Methylmalonyl-CoA epimerase, mitochondrial"			
lcl|c230538_g3_i2|m.15395	m.15395	" plasminogen activator, urokinase receptor* [PLAUR] (m.15395)"					19	K03985	PLAUR	" plasminogen activator, urokinase receptor"	1		K03985		"Complement and coagulation cascades, Proteoglycans in cancer"	A0A1V0CMH1	Cysteine-rich protein			
lcl|c230551_g2_i3|m.15412	m.15412	* [] (m.15412)					9	K17253			1		K17253			A0A2B4RDC0	MAM and LDL-receptor class A domain-containing protein 1		membrane [GO:0016020]	
lcl|c230610_g4_i3|m.15445	m.15445	 agrin* [AGRN] (m.15445)					6	K06254	AGRN	 agrin	2		K06254		ECM-receptor interaction	A0A3M6T6P8	Uncharacterized protein			
lcl|c230632_g1_i6|m.15498	m.15498	 alpha-2-macroglobulin receptor-associated protein [LRPAP1] (m.15498)	K22290	LRPAP1	 alpha-2-macroglobulin receptor-associated protein		54						K22290	Cholesterol metabolism		A0A3M6TVR4	Uncharacterized protein		endoplasmic reticulum [GO:0005783]; heparin binding [GO:0008201]; low-density lipoprotein particle receptor binding [GO:0050750]; receptor antagonist activity [GO:0048019]	
lcl|c230636_g2_i1|m.15503	m.15503	Discoidin domain-containing receptor 2* [] (m.15503)														A0A2B4RZZ8	Discoidin domain-containing receptor 2			
lcl|c230669_g1_i1|m.15524	m.15524	* [] (m.15524)					8	K07755			5		K07755							
lcl|c230725_g4_i1|m.15552	m.15552	* [] (m.15552)					6	K06846			3		K06846							
lcl|c230725_g5_i4|m.15553	m.15553	 CD59 antigen* [CD59] (m.15553)					8	K04008	CD59	 CD59 antigen	1		K04008		"Complement and coagulation cascades, Hematopoietic cell lineage"					
lcl|c230742_g3_i4|m.15574	m.15574	 DnaJ homolog subfamily A member 1 [DNAJA1] (m.15574)	K09502	DNAJA1	 DnaJ homolog subfamily A member 1		255						K09502	Protein processing in endoplasmic reticulum		A7RZ26	Predicted protein		cytosol [GO:0005829]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; response to heat [GO:0009408]	protein folding [GO:0006457]; response to heat [GO:0009408]
lcl|c230758_g1_i1|m.15596	m.15596	 NADH dehydrogenase (ubiquinone) flavoprotein 2  [NDUFV2] (m.15596)	K03943	NDUFV2	 NADH dehydrogenase (ubiquinone) flavoprotein 2 	[EC:7.1.1.2 1.6.99.3]	218						K03943	"Oxidative phosphorylation, Thermogenesis, Retrograde endocannabinoid signaling, Metabolic pathways, Non-alcoholic fatty liver disease, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease"		A0A2B4SFU3	"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"		"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]"	
lcl|c230758_g1_i2|m.15597	m.15597	 NADH dehydrogenase (ubiquinone) flavoprotein 2  [NDUFV2] (m.15597)	K03943	NDUFV2	 NADH dehydrogenase (ubiquinone) flavoprotein 2 	[EC:7.1.1.2 1.6.99.3]	102						K03943	"Oxidative phosphorylation, Thermogenesis, Retrograde endocannabinoid signaling, Metabolic pathways, Non-alcoholic fatty liver disease, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease"						
lcl|c230771_g2_i1|m.15607	m.15607	 triosephosphate isomerase (TIM)  [TPI] (m.15607)	K01803	TPI	 triosephosphate isomerase (TIM) 	[EC:5.3.1.1]	262						K01803	"Glycolysis / Gluconeogenesis, Carbon metabolism, Fructose and mannose metabolism, Inositol phosphate metabolism, Carbon fixation in photosynthetic organisms, Biosynthesis of amino acids, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"		A0A3M6U3T0	Triosephosphate isomerase (EC 5.3.1.1)		triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
lcl|c230773_g3_i10|m.15608	m.15608	WD_REPEATS_REGION domain-containing protein (Fragment)* [] (m.15608)					276									A0A3M6UK87	WD_REPEATS_REGION domain-containing protein (Fragment)			
lcl|c230792_g1_i1|m.15630	m.15630	* [] (m.15630)					59	K09602			1		K09602			A0A3M6TDH0	Uncharacterized protein			
lcl|c230819_g2_i9|m.15669	m.15669	Tr-type G domain-containing protein* [] (m.15669)					391									A0A3M6UMN3	Tr-type G domain-containing protein		GTP binding [GO:0005525]; GTPase activity [GO:0003924]	
lcl|c230823_g3_i1|m.15672	m.15672	 cathepsin B  [CTSB] (m.15672)	K01363	CTSB	 cathepsin B 	[EC:3.4.22.1]	170						K01363	"Lysosome, Apoptosis, Antigen processing and presentation, Autophagy - animal, NOD-like receptor signaling pathway, Renin secretion"		A0A2B4S2V2	Cathepsin B		cysteine-type peptidase activity [GO:0008234]	
lcl|c230829_g2_i5|m.15683	m.15683	* [] (m.15683)					14	K10354			10		K10354							
lcl|c230862_g3_i1|m.15714	m.15714	 NADH dehydrogenase (ubiquinone) flavoprotein 1  [NDUFV1] (m.15714)	K03942	NDUFV1	 NADH dehydrogenase (ubiquinone) flavoprotein 1 	[EC:7.1.1.2 1.6.99.3]	474						K03942	"Oxidative phosphorylation, Thermogenesis, Retrograde endocannabinoid signaling, Metabolic pathways, Non-alcoholic fatty liver disease, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease"		A0A2B4REL4	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2)"		"mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; 4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]"	
lcl|c230880_g3_i5|m.15737	m.15737	 pyridoxamine 5'-phosphate oxidase  [pdxH] (m.15737)	K00275	pdxH	 pyridoxamine 5'-phosphate oxidase 	[EC:1.4.3.5]	114						K00275	"Vitamin B6 metabolism, Metabolic pathways, Microbial metabolism in diverse environments"						
lcl|c230890_g2_i1|m.15747	m.15747	 sphinganine-1-phosphate aldolase  [SGPL1] (m.15747)	K01634	SGPL1	 sphinganine-1-phosphate aldolase 	[EC:4.1.2.27]	171						K01634	"Sphingolipid metabolism, Sphingolipid signaling pathway, Metabolic pathways"		A0A3M6V5Y3	Uncharacterized protein		carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; carboxylic acid metabolic process [GO:0019752]	carboxylic acid metabolic process [GO:0019752]
lcl|c230890_g3_i2|m.15750	m.15750	 glypican 4 [GPC4] (m.15750)	K08110	GPC4	 glypican 4		144						K08110	Wnt signaling pathway		A0A3M6V4J7	Uncharacterized protein		anchored component of plasma membrane [GO:0046658]; collagen-containing extracellular matrix [GO:0062023]; regulation of signal transduction [GO:0009966]	regulation of signal transduction [GO:0009966]
lcl|c230902_g1_i11|m.15765	m.15765	* [] (m.15765)					54													
lcl|c230944_g4_i1|m.15814	m.15814	 very-long-chain enoyl-CoA reductase  [TER] (m.15814)	K10258	TER	 very-long-chain enoyl-CoA reductase 	[EC:1.3.1.93]	57						K10258	"Fatty acid elongation, Biosynthesis of unsaturated fatty acids, Fatty acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"		A0A2B4RKP1	Very-long-chain enoyl-CoA reductase		"integral component of membrane [GO:0016021]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; lipid metabolic process [GO:0006629]"	lipid metabolic process [GO:0006629]
lcl|c230947_g2_i4|m.15815	m.15815	 Prp8 binding protein [SNRNP40] (m.15815)	K12857	SNRNP40	 Prp8 binding protein		263						K12857	Spliceosome		A7RQB4	Predicted protein			
lcl|c230953_g1_i2|m.15824	m.15824	* [] (m.15824)					76													
lcl|c230960_g1_i5|m.15839	m.15839	 leucine zipper transcription factor-like protein 1 [LZTFL1] (m.15839)	K19400	LZTFL1	 leucine zipper transcription factor-like protein 1		182						K19400			A0A2B4SGL7	Leucine zipper transcription factor-like protein 1			
lcl|c230982_g4_i7|m.15848	m.15848	 golgi apparatus protein 1 [GLG1] (m.15848)	K06816	GLG1	 golgi apparatus protein 1		16						K06816	Cell adhesion molecules		A0A2B4RWU0	Golgi apparatus protein 1		Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	
lcl|c230991_g1_i1|m.15860	m.15860	 protein phosphatase inhibitor 2 [PPP1R2] (m.15860)	K16833	PPP1R2	 protein phosphatase inhibitor 2		57						K16833			A0A2B4SPZ1	Nuclear pore glycoprotein p62		nuclear pore [GO:0005643]; protein phosphatase inhibitor activity [GO:0004864]; structural constituent of nuclear pore [GO:0017056]; regulation of signal transduction [GO:0009966]	regulation of signal transduction [GO:0009966]
lcl|c230993_g3_i4|m.15866	m.15866	 phosphopantothenate---cysteine ligase (ATP)  [PPCS] (m.15866)	K01922	PPCS	 phosphopantothenate---cysteine ligase (ATP) 	[EC:6.3.2.51]	148						K01922	"Pantothenate and CoA biosynthesis, Metabolic pathways"		A0A2B4S3Z8	Phosphopantothenate--cysteine ligase		nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; ligase activity [GO:0016874]; sequence-specific DNA binding [GO:0043565]	
lcl|c231028_g3_i4|m.15898	m.15898	 E3 ubiquitin-protein ligase Itchy [EC:2.3.2.26]* [ITCH] (m.15898)		WWP1	 NEDD4-like E3 ubiquitin-protein ligase WWP1 	[EC:2.3.2.26]	197	K05632	ITCH	 E3 ubiquitin-protein ligase Itchy [EC:2.3.2.26]	18		K05633		"Ubiquitin mediated proteolysis, Endocytosis, TNF signaling pathway, Non-alcoholic fatty liver disease"					
lcl|c231030_g9_i2|m.15907	m.15907	 dynamin 1-like protein  [DNM1L] (m.15907)	K17065	DNM1L	 dynamin 1-like protein 	[EC:3.6.5.5]	323						K17065	"Mitophagy - yeast, Apoptosis - fly, Necroptosis, NOD-like receptor signaling pathway, TNF signaling pathway"						
lcl|c231043_g3_i4|m.15925	m.15925	 probable aminopeptidase NPEPL1  [NPEPL1] (m.15925)	K09611	NPEPL1	 probable aminopeptidase NPEPL1 	[EC:3.4.11.-]	338						K09611							
lcl|c231052_g3_i3|m.15929	m.15929	 guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 [GNB1] (m.15929)	K04536	GNB1	 guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1		299						K04536	"Ras signaling pathway, Retrograde endocannabinoid signaling, Cholinergic synapse, GABAergic synapse, Dopaminergic synapse, Phototransduction, MAPK signaling pathway - yeast, Chemokine signaling pathway, PI3K-Akt signaling pathway, Apelin signaling pathway, Circadian entrainment, Glutamatergic synapse, Serotonergic synapse, Olfactory transduction, Relaxin signaling pathway, Morphine addiction, Alcoholism, Human cytomegalovirus infection, Kaposi sarcoma-associated herpesvirus infection, Human immunodeficiency virus 1 infection, Pathways in cancer"		A0A2B4RZG2	Guanine nucleotide-binding protein subunit beta		signal transduction [GO:0007165]	signal transduction [GO:0007165]
lcl|c231068_g6_i2|m.15939	m.15939	 chaperonin GroEL [groEL] (m.15939)	K04077	groEL	 chaperonin GroEL		425						K04077	"RNA degradation, Longevity regulating pathway - worm, Type I diabetes mellitus, Legionellosis, Tuberculosis"		A0A3M6UV95	Uncharacterized protein		ATP binding [GO:0005524]; protein refolding [GO:0042026]	protein refolding [GO:0042026]
lcl|c231083_g2_i1|m.15952	m.15952	 chitinase [EC:3.2.1.14]* [E3.2.1.14] (m.15952)					30	K01183	E3.2.1.14	 chitinase [EC:3.2.1.14]	1		K01183		"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"	A0A3M6ULV2	Uncharacterized protein		integral component of membrane [GO:0016021]	
lcl|c231085_g3_i1|m.15955	m.15955	 Niemann-Pick C2 protein [NPC2] (m.15955)	K13443	NPC2	 Niemann-Pick C2 protein		16						K13443	"Lysosome, Cholesterol metabolism"		A0A2B4SE64	ATP-binding cassette sub-family D member 4		integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	
lcl|c231089_g1_i2|m.15958	m.15958	Integrase catalytic domain-containing protein* [] (m.15958)					122									A0A210QWK6	Integrase catalytic domain-containing protein		DNA integration [GO:0015074]	DNA integration [GO:0015074]
lcl|c231102_g1_i6|m.15966	m.15966	 propionyl-CoA synthetase  [ACSS3] (m.15966)	K01908	ACSS3	 propionyl-CoA synthetase 	[EC:6.2.1.17]	24						K01908	"Propanoate metabolism, Metabolic pathways"		A0A2B4SHT0	"Acyl-CoA synthetase short-chain family member 3, mitochondrial"		catalytic activity [GO:0003824]	
lcl|c231142_g1_i4|m.15993	m.15993	 cAMP-dependent protein kinase regulator [PRKAR] (m.15993)	K04739	PRKAR	 cAMP-dependent protein kinase regulator		270						K04739	Insulin signaling pathway						
lcl|c231190_g4_i3|m.16030	m.16030	 methanethiol oxidase  [SELENBP1] (m.16030)	K17285	SELENBP1	 methanethiol oxidase 	[EC:1.8.3.4]	236						K17285	"Sulfur metabolism, Metabolic pathways"						
lcl|c231190_g4_i6|m.16031	m.16031	 methanethiol oxidase  [SELENBP1] (m.16031)	K17285	SELENBP1	 methanethiol oxidase 	[EC:1.8.3.4]	127						K17285	"Sulfur metabolism, Metabolic pathways"						
lcl|c231210_g4_i4|m.16042	m.16042	 Ras-related protein Rab-35 [RAB35] (m.16042)	K07876	RAB35	 Ras-related protein Rab-35		150						K07876	Endocytosis		A0A2B4RSK9	Ras-related protein Rab-35		GTP binding [GO:0005525]; GTPase activity [GO:0003924]	
lcl|c231225_g3_i3|m.16055	m.16055	 acyl-CoA dehydrogenase  [ACADM] (m.16055)	K00249	ACADM	 acyl-CoA dehydrogenase 	[EC:1.3.8.7]	36						K00249	"Valine, leucine and isoleucine degradation, Fatty acid degradation, Fatty acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, PPAR signaling pathway"		A0A2B4RNW2	"Putative medium-chain specific acyl-CoA dehydrogenase, mitochondrial"		acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	
lcl|c231252_g2_i1|m.16075	m.16075	Methyltransf_25 domain-containing protein* [] (m.16075)					37									A0A3M6UXH1	Methyltransf_25 domain-containing protein			
lcl|c231257_g1_i5|m.16082	m.16082	* [] (m.16082)					13	K13047			6		K13047							
lcl|c231257_g1_i8|m.16086	m.16086	 cubilin* [CUBN] (m.16086)					12	K14616	CUBN	 cubilin	1		K14616		Vitamin digestion and absorption					
lcl|c231271_g2_i4|m.16089	m.16089	 choline dehydrogenase  [betA] (m.16089)	K00108	betA	 choline dehydrogenase 	[EC:1.1.99.1]	309						K00108	"Glycine, serine and threonine metabolism, Metabolic pathways"		A0A3M6U3Z6	Choline dehydrogenase (EC 1.1.99.1) (Fragment)		integral component of membrane [GO:0016021]; choline dehydrogenase activity [GO:0008812]; flavin adenine dinucleotide binding [GO:0050660]; glycine betaine biosynthetic process from choline [GO:0019285]	glycine betaine biosynthetic process from choline [GO:0019285]
